Name,Invalid
ပြည်ထောင်စု,0
ပြည့်စုံ,0
သုခပြည့်စုံ,18
ပန်းဝတ်ဆံ,0
ပွင့်သစ်စ,18
သူထူးစံ,0
သစ်ဆန်း,0
ဖူးစာ,"18,10,21,27"
မြတ်သဇင်,0
မြတ်ပန်းသဇင်,0
ပန်းသဇင်,0
ဗဟိုစည်,0
ဗောဓိညောင်,18
ဘိုးစဥ်ဘောင်ဆက်,0
ဘက်စုံ,0
မြနန်းဆောင်,0
မြနန်းအောင်,0
မိုးထက်စံ,0
ဖြိုးမြတ်စံ,0
မြင့်မြတ်စံ,0
မြင့်မိုရ်စံ,0
ပွင့်သစ်စံ,0
ခတ်သစ်ဆန်း,0
တော်ဝင်သစ်ဆန်း,0
ရတနာသစ်ဆန်း,0
ရွှေပြည်ထောင်စု,18
သဇင်,0
သွင်သစ်ဆန်း,0
သိဒ္ဓဆောင်,0
သိဒ္ဓစံ,0
ချစ်မိုးစွေ,27
မိုးကြယ်စင်,0
ဆန်းသစ်စ,0
ရွှေဖူးစာ,"18,10,21,27"
တော်ဝင်သဇင်,0
တိုးတက်စံ,0
ထာ၀ရ,0
လိုတရ,0
ဖုန်းဂုရု,"18,10,21,27"
ရှုမဝ,18
ရွှေလက်ရာ,0
မီးအိမ်ရှင်,0
မေတ္တာရှင်,0
ကျောက်ဖယောင်း,0
အသားဘုရင်,18
အောင်သစ်သွင်,0
နန်းထက်လျာ,0
ဆန်းသစ်လ,0
မြတ်တော်ဝင်,0
ကြယ်စင်လင်း,0
စိန်မြရံ,0
ဧကရီ,"18,10,21,27"
ငွေဇင်ယော်,0
ပိတောက်ဝါ,0
ကောင်းဆင့်ဝေ,0
မြတ်ဆရာ,"18,10,21"
သိန်းနန်းရွှေ,0
အောင်သစ်လွင်,0
ပိုင်အောင်ရွှေ,0
မင်္ဂလာ,18
မိုးသောက်ရွှေ,18
ဓနလှိုင်,0
ရွှေရုပ်လေး,"18,10,21,27"
စိန်ကုလား,0
ကျောက်ဖရုံ,"18,10,21,27"
ငွေလရောင်,0
ကရဝိတ်,0
ငွေဘယက်,0
ခေါက်ဆွဲဘုရင်,"18,10,21,27"
ခန့်ထည်ဝါ,0
မြအိုးဝေ,0
ဧကရစ်,0
ဒေါ်ခန်းရင်,0
မွန်းထက်ရှိုင်း,0
သော်တာဝင်း,0
